,Provincias,Población,Porcentaje_poblacion
0,A CORUÑA,1 122 032,2.36 %
1,ALBACETE,387 969,0.81 %
2,ALICANTE,1 974 438,4.15 %
3,ALMERIA,729 201,1.53 %
4,ARABA/ALAVA,331 103,0.7 %
5,ASTURIAS,1 005 397,2.11 %
6,AVILA,159 317,0.33 %
7,BADAJOZ,666 971,1.4 %
8,BARCELONA,5 658 399,11.88 %
9,BIZKAIA,1 135 269,2.38 %
10,BURGOS,352 331,0.74 %
11,CACERES,385 472,0.81 %
12,CADIZ,1 260 204,2.65 %
13,CANTABRIA,585 221,1.23 %
14,CASTELLON,582 434,1.22 %
16,CIUDAD REAL,489 755,1.03 %
17,CORDOBA,776 582,1.63 %
18,CUENCA,198 990,0.42 %
19,GIPUZKOA,714 906,1.5 %
20,GIRONA,783 420,1.65 %
21,GRANADA,932 248,1.96 %
22,GUADALAJARA,268 860,0.56 %
23,HUELVA,533 989,1.12 %
24,HUESCA,222 713,0.47 %
25,ILLES BALEARS,1 232 270,2.59 %
26,JAEN,620 762,1.3 %
27,LA RIOJA,316 806,0.67 %
28,LAS PALMAS,1 159 313,2.43 %
29,LEON,451 209,0.95 %
30,LLEIDA,439 506,0.92 %
31,LUGO,323 984,0.68 %
32,MADRID,6 825 005,14.33 %
33,MALAGA,1 722 388,3.62 %
35,MURCIA,1 531 140,3.22 %
36,NAVARRA,661 830,1.39 %
37,OURENSE,303 960,0.64 %
38,PALENCIA,157 205,0.33 %
39,PONTEVEDRA,943 473,1.98 %
40,SALAMANCA,326 080,0.68 %
41,SEGOVIA,153 993,0.32 %
42,SEVILLA,1 964 651,4.13 %
43,SORIA,89 519,0.19 %
44,STA. CRUZ DE TENERIFE,1 102 340,2.32 %
45,TARRAGONA,828 809,1.74 %
46,TERUEL,133 338,0.28 %
47,TOLEDO,712 472,1.5 %
48,VALENCIA,2 600 793,5.46 %
49,VALLADOLID,518 950,1.09 %
50,ZAMORA,167 362,0.35 %
51,ZARAGOZA,959 471,2.02 %
